"TrackId";"Name";"UnitsSold";"Milliseconds";"Lenght_Seconds";"Genre"
2;Balls to the Wall;2;342562;342;Rock
8;Inject The Venom;2;210834;210;Rock
9;Snowballed;2;203102;203;Rock
20;Overdose;2;369319;369;Rock
32;Deuces Are Wild;2;215875;215;Rock
48;Not The Doctor;2;227631;227;Rock
66;Por Causa De Você;2;169900;169;Jazz
84;Welcome Home (Sanitarium);2;350197;350;Metal
161;Snowblind;2;331676;331;Metal
162;Cornucopia;2;234814;234;Metal
171;Bowels Of The Devil;2;223216;223;Alternative & Punk
175;Voodoo;2;300721;300;Alternative & Punk
184;Chemical Wedding;2;246177;246;Metal
198;When My Left Eye Jumps;2;235311;235;Blues
207;Meditação;2;148793;148;Latin
211;Bem Devagar;2;133172;133;Latin
217;Mel;2;294765;294;Latin
229;Samba De Orly;2;162429;162;Latin
234;Morena De Angola;2;186801;186;Latin
240;Meu Caro Amigo;2;260257;260;Latin
241;Geni E O Zepelim;2;317570;317;Latin
252;Samba Do Lado;2;227317;227;Latin
264;Amor De Muito;2;175333;175;Latin
280;Lixo Do Mangue;2;193253;193;Latin
298;A Cor Do Sol;2;231392;231;Reggae
316;Linha Do Equador;2;244715;244;Latin
393;Tarde Em Itapoã;2;313704;313;Latin
394;Tanto Tempo;2;170292;170;Latin
403;Bumbo Da Mangueira;2;270158;270;Latin
407;Só Tinha De Ser Com Você;2;389642;389;Latin
416;Whiskey In The Jar;2;305005;305;Metal
430;I'm Going Slightly Mad;2;248032;248;Rock
439;Sure Know Something;2;242468;242;Rock
443;Shock Me;2;227291;227;Rock
449;Calling Dr. Love;2;225332;225;Rock
461;Surrender;2;287634;287;Jazz
466;J Squared;2;288757;288;Jazz
472;Basket Case;2;181629;181;Alternative & Punk
473;When I Come Around;2;178364;178;Alternative & Punk
484;Nice Guys Finish Last;2;170187;170;Alternative & Punk
496;Living On Love;2;391549;391;Rock
512;Comportamento Geral;2;181577;181;Latin
530;Ando Meio Desligado;2;287817;287;Alternative & Punk
548;Smoke On The Water;2;618031;618;Rock
625;Blue Rythm Fantasy;2;348212;348;Jazz
626;Drum Boogie;2;191555;191;Jazz
635;Lemon Drop;2;194089;194;Jazz
639;Don't Take Your Love From Me;2;282331;282;Jazz
648;Onde Anda Você;2;168437;168;Bossa Nova
662;Pela Luz dos Olhos Teus (Miúcha e Tom Jobim);2;163970;163;Latin
671;As Rosas Não Falam (Beth Carvalho);2;116767;116;Latin
675;Susie Q;2;275565;275;Rock
681;Commotion;2;162899;162;Rock
693;Sweet Hitch-Hiker;2;175490;175;Rock
698;Good Golly Miss Molly;2;163604;163;Rock
704;Don't Look Now;2;131918;131;Rock
705;The Midnight Special;2;253596;253;Rock
716;Brasil;2;243696;243;Latin
728;Woman Is The Nigger Of The World (Ao Vivo);2;298919;298;Latin
744;Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos);2;188473;188;Latin
762;No No No;2;414902;414;Rock
780;Maybe I'm A Leo;2;290455;290;Rock
857;Álibi;2;213237;213;Latin
858;Esquinas;2;280999;280;Latin
867;Açai;2;270968;270;Latin
871;Azul;2;253962;253;Latin
880;Dois Pra Lá, Dois Pra Cá;2;263026;263;Latin
894;Sunshine Of Your Love;2;252891;252;Blues
903;Lay Down Sally;2;231732;231;Blues
907;Promises;2;180401;180;Blues
913;Lonely Stranger;2;328724;328;Blues
925;Last Cup Of Sorrow;2;251663;251;Alternative & Punk
930;She Loves Me Not;2;209867;209;Alternative & Punk
936;Caffeine;2;267937;267;Alternative & Punk
937;Midlife Crisis;2;263235;263;Alternative & Punk
948;Easy;2;185835;185;Alternative & Punk
960;What A Day;2;158275;158;Rock
976;Falamansa Song;2;237165;237;Latin
